iter	Passed	Remaining
0	29	29878
1	54	27230
2	80	26782
3	104	26049
4	124	24813
5	141	23432
6	155	22063
7	166	20656
8	177	19515
9	187	18599
10	197	17783
11	207	17085
12	217	16483
13	226	15942
14	235	15484
15	245	15080
16	254	14736
17	264	14429
18	274	14160
19	284	13931
20	294	13736
21	304	13542
22	315	13394
23	326	13258
24	337	13146
25	349	13086
26	361	13040
27	374	13014
28	388	12998
29	404	13062
30	421	13160
31	438	13258
32	452	13267
33	467	13276
34	484	13355
35	499	13372
36	515	13429
37	532	13483
38	548	13521
39	564	13548
40	580	13573
41	616	14058
42	636	14167
43	652	14177
44	667	14171
45	680	14115
46	691	14026
47	703	13944
48	715	13880
49	727	13820
50	740	13775
51	752	13727
52	767	13716
53	782	13712
54	797	13705
55	811	13681
56	826	13674
57	843	13707
58	861	13743
59	877	13743
60	895	13780
61	913	13815
62	928	13803
63	942	13787
64	958	13783
65	974	13793
66	991	13809
67	1008	13820
68	1024	13819
69	1039	13806
70	1055	13805
71	1068	13776
72	1083	13762
73	1098	13741
74	1114	13746
75	1129	13727
76	1148	13761
77	1165	13779
78	1181	13773
79	1196	13754
80	1212	13751
81	1228	13751
82	1244	13749
83	1261	13758
84	1278	13761
85	1293	13748
86	1308	13729
87	1322	13709
88	1338	13700
89	1356	13714
90	1371	13698
91	1386	13688
92	1403	13688
93	1419	13686
94	1434	13667
95	1452	13673
96	1468	13674
97	1485	13669
98	1499	13650
99	1515	13639
100	1531	13630
101	1548	13631
102	1563	13620
103	1581	13628
104	1599	13633
105	1617	13645
106	1638	13672
107	1655	13670
108	1674	13687
109	1693	13700
110	1710	13700
111	1729	13711
112	1746	13711
113	1761	13689
114	1777	13679
115	1792	13657
116	1808	13647
117	1824	13639
118	1842	13642
119	1858	13626
120	1874	13614
121	1889	13596
122	1906	13593
123	1921	13576
124	1938	13571
125	1953	13552
126	1968	13530
127	1984	13516
128	2000	13506
129	2016	13495
130	2031	13476
131	2046	13459
132	2063	13450
133	2077	13429
134	2093	13415
135	2109	13402
136	2125	13387
137	2141	13374
138	2155	13353
139	2171	13338
140	2186	13321
141	2203	13315
142	2219	13300
143	2234	13283
144	2250	13270
145	2265	13254
146	2281	13238
147	2296	13221
148	2312	13205
149	2327	13187
150	2343	13178
151	2360	13167
152	2375	13152
153	2391	13140
154	2406	13117
155	2421	13103
156	2438	13091
157	2451	13066
158	2466	13045
159	2481	13029
160	2498	13019
161	2513	13000
162	2534	13015
163	2553	13019
164	2572	13019
165	2591	13022
166	2606	13002
167	2621	12982
168	2636	12961
169	2651	12945
170	2667	12932
171	2681	12910
172	2698	12899
173	2713	12880
174	2728	12864
175	2743	12844
176	2757	12823
177	2773	12810
178	2789	12794
179	2804	12774
180	2819	12756
181	2836	12748
182	2852	12733
183	2867	12715
184	2882	12696
185	2897	12680
186	2915	12675
187	2932	12664
188	2948	12654
189	2964	12638
190	2979	12618
191	2995	12605
192	3010	12585
193	3024	12565
194	3040	12551
195	3056	12536
196	3073	12527
197	3089	12515
198	3105	12498
199	3120	12481
200	3136	12469
201	3152	12452
202	3166	12433
203	3180	12410
204	3196	12397
205	3212	12380
206	3226	12361
207	3241	12343
208	3256	12323
209	3271	12308
210	3286	12290
211	3303	12277
212	3320	12268
213	3338	12260
214	3355	12250
215	3371	12237
216	3386	12219
217	3401	12203
218	3416	12183
219	3430	12162
220	3444	12142
221	3459	12122
222	3472	12098
223	3487	12083
224	3502	12062
225	3517	12046
226	3531	12026
227	3546	12008
228	3560	11988
229	3575	11968
230	3589	11947
231	3604	11931
232	3618	11912
233	3633	11895
234	3649	11879
235	3665	11866
236	3679	11846
237	3694	11829
238	3709	11810
239	3724	11794
240	3743	11790
241	3762	11786
242	3779	11773
243	3795	11758
244	3813	11752
245	3833	11749
246	3849	11734
247	3864	11717
248	3879	11699
249	3894	11683
250	3909	11666
251	3925	11652
252	3942	11639
253	3956	11621
254	3971	11603
255	3986	11586
256	4002	11571
257	4019	11560
258	4035	11545
259	4051	11532
260	4068	11519
261	4084	11503
262	4099	11487
263	4114	11471
264	4129	11453
265	4144	11435
266	4160	11421
267	4178	11412
268	4194	11399
269	4213	11390
270	4227	11372
271	4240	11350
272	4255	11332
273	4271	11318
274	4286	11300
275	4301	11282
276	4317	11270
277	4331	11250
278	4348	11236
279	4363	11219
280	4378	11204
281	4394	11189
282	4409	11171
283	4424	11154
284	4439	11137
285	4454	11120
286	4469	11102
287	4483	11084
288	4498	11066
289	4511	11046
290	4526	11027
291	4541	11011
292	4554	10990
293	4571	10977
294	4588	10965
295	4603	10949
296	4618	10931
297	4632	10912
298	4648	10898
299	4662	10879
300	4676	10860
301	4692	10844
302	4705	10824
303	4723	10813
304	4740	10802
305	4759	10793
306	4776	10781
307	4793	10770
308	4809	10755
309	4827	10746
310	4846	10738
311	4862	10721
312	4877	10706
313	4893	10691
314	4911	10681
315	4927	10664
316	4941	10647
317	4957	10631
318	4975	10622
319	4993	10611
320	5008	10593
321	5023	10576
322	5038	10560
323	5057	10552
324	5075	10540
325	5089	10523
326	5104	10506
327	5120	10490
328	5139	10481
329	5154	10466
330	5171	10453
331	5188	10438
332	5204	10424
333	5222	10413
334	5238	10398
335	5253	10381
336	5267	10362
337	5285	10351
338	5301	10338
339	5314	10317
340	5327	10296
341	5341	10276
342	5355	10258
343	5369	10239
344	5384	10222
345	5403	10212
346	5423	10205
347	5442	10197
348	5460	10185
349	5475	10169
350	5488	10148
351	5501	10127
352	5512	10104
353	5526	10085
354	5539	10064
355	5552	10044
356	5568	10028
357	5589	10023
358	5610	10017
359	5631	10011
360	5647	9995
361	5663	9981
362	5679	9966
363	5693	9948
364	5709	9933
365	5727	9921
366	5743	9906
367	5759	9890
368	5774	9874
369	5790	9859
370	5809	9848
371	5827	9837
372	5844	9825
373	5864	9815
374	5882	9804
375	5899	9790
376	5920	9783
377	5937	9770
378	5953	9755
379	5968	9738
380	5985	9723
381	6000	9708
382	6018	9695
383	6034	9680
384	6052	9669
385	6069	9655
386	6087	9641
387	6107	9633
388	6125	9621
389	6140	9604
390	6154	9586
391	6167	9565
392	6180	9546
393	6196	9531
394	6212	9515
395	6227	9498
396	6243	9482
397	6260	9469
398	6278	9456
399	6296	9445
400	6315	9433
401	6335	9424
402	6351	9409
403	6367	9393
404	6383	9378
405	6401	9365
406	6417	9350
407	6437	9341
408	6452	9323
409	6467	9307
410	6480	9287
411	6495	9270
412	6513	9257
413	6529	9242
414	6544	9225
415	6560	9210
416	6574	9191
417	6589	9175
418	6610	9166
419	6633	9161
420	6654	9151
421	6671	9137
422	6687	9122
423	6704	9108
424	6718	9089
425	6735	9075
426	6751	9060
427	6764	9041
428	6781	9025
429	6797	9010
430	6812	8993
431	6828	8978
432	6845	8964
433	6862	8949
434	6879	8935
435	6899	8924
436	6916	8911
437	6935	8898
438	6954	8886
439	6971	8872
440	6985	8855
441	6998	8835
442	7010	8814
443	7023	8795
444	7035	8774
445	7047	8754
446	7060	8734
447	7075	8717
448	7090	8701
449	7106	8685
450	7123	8671
451	7136	8652
452	7152	8636
453	7167	8620
454	7183	8603
455	7199	8588
456	7214	8571
457	7228	8554
458	7243	8536
459	7258	8520
460	7295	8530
461	7314	8518
462	7331	8503
463	7346	8485
464	7359	8466
465	7371	8447
466	7382	8426
467	7394	8405
468	7406	8385
469	7418	8365
470	7431	8347
471	7446	8330
472	7462	8313
473	7474	8294
474	7487	8275
475	7502	8259
476	7518	8243
477	7534	8228
478	7547	8209
479	7563	8193
480	7579	8177
481	7598	8165
482	7612	8148
483	7625	8130
484	7641	8113
485	7656	8097
486	7674	8083
487	7691	8069
488	7706	8053
489	7719	8034
490	7733	8016
491	7747	7999
492	7764	7984
493	7777	7965
494	7789	7946
495	7802	7928
496	7816	7910
497	7829	7892
498	7844	7875
499	7859	7859
500	7873	7841
501	7888	7825
502	7905	7811
503	7923	7797
504	7939	7782
505	7953	7764
506	7967	7747
507	7980	7729
508	7993	7711
509	8007	7693
510	8022	7677
511	8037	7660
512	8052	7644
513	8068	7629
514	8085	7614
515	8100	7598
516	8116	7583
517	8135	7569
518	8150	7553
519	8164	7536
520	8180	7521
521	8196	7505
522	8212	7490
523	8229	7475
524	8244	7459
525	8262	7445
526	8280	7431
527	8297	7417
528	8314	7402
529	8330	7387
530	8347	7372
531	8366	7360
532	8383	7345
533	8397	7328
534	8413	7312
535	8428	7296
536	8443	7280
537	8460	7264
538	8476	7249
539	8495	7236
540	8511	7220
541	8525	7203
542	8538	7185
543	8550	7167
544	8564	7149
545	8578	7132
546	8594	7117
547	8610	7102
548	8624	7085
549	8640	7069
550	8656	7053
551	8671	7037
552	8686	7021
553	8703	7007
554	8722	6993
555	8738	6978
556	8755	6963
557	8770	6947
558	8783	6929
559	8795	6910
560	8808	6892
561	8821	6874
562	8834	6857
563	8849	6841
564	8863	6824
565	8879	6808
566	8895	6793
567	8909	6775
568	8924	6759
569	8941	6745
570	8958	6730
571	8974	6715
572	8992	6701
573	9009	6686
574	9023	6669
575	9039	6654
576	9053	6637
577	9065	6618
578	9078	6601
579	9091	6583
580	9105	6566
581	9119	6549
582	9133	6532
583	9146	6515
584	9162	6499
585	9180	6485
586	9197	6471
587	9211	6454
588	9226	6438
589	9245	6424
590	9261	6409
591	9274	6391
592	9287	6374
593	9300	6357
594	9317	6341
595	9334	6327
596	9353	6313
597	9369	6298
598	9383	6281
599	9396	6264
600	9408	6246
601	9420	6228
602	9433	6210
603	9446	6193
604	9459	6176
605	9473	6159
606	9489	6143
607	9507	6129
608	9523	6114
609	9537	6097
610	9552	6081
611	9568	6066
612	9583	6050
613	9600	6035
614	9614	6018
615	9627	6001
616	9641	5984
617	9653	5967
618	9667	5950
619	9683	5934
620	9699	5919
621	9713	5902
622	9726	5885
623	9742	5870
624	9759	5855
625	9775	5840
626	9789	5823
627	9801	5806
628	9815	5789
629	9828	5772
630	9843	5756
631	9857	5740
632	9872	5723
633	9887	5707
634	9902	5691
635	9918	5676
636	9933	5660
637	9947	5644
638	9963	5628
639	9977	5612
640	9991	5595
641	10005	5579
642	10021	5563
643	10034	5547
644	10049	5531
645	10065	5516
646	10083	5501
647	10099	5486
648	10119	5472
649	10139	5459
650	10154	5444
651	10168	5427
652	10182	5410
653	10194	5393
654	10209	5377
655	10223	5361
656	10239	5345
657	10256	5330
658	10272	5315
659	10288	5300
660	10306	5285
661	10320	5269
662	10336	5253
663	10352	5238
664	10370	5224
665	10386	5208
666	10403	5194
667	10420	5178
668	10436	5163
669	10454	5149
670	10470	5133
671	10485	5117
672	10500	5101
673	10515	5086
674	10531	5070
675	10548	5055
676	10564	5040
677	10581	5025
678	10598	5010
679	10619	4997
680	10637	4983
681	10652	4966
682	10664	4949
683	10677	4932
684	10689	4915
685	10702	4898
686	10717	4882
687	10731	4866
688	10745	4850
689	10759	4834
690	10775	4818
691	10790	4802
692	10805	4786
693	10821	4771
694	10838	4756
695	10852	4740
696	10867	4724
697	10882	4708
698	10901	4694
699	10917	4679
700	10932	4662
701	10945	4646
702	10959	4629
703	10974	4614
704	10986	4597
705	11001	4581
706	11015	4564
707	11030	4549
708	11046	4533
709	11062	4518
710	11079	4503
711	11097	4488
712	11117	4474
713	11134	4460
714	11149	4444
715	11162	4427
716	11174	4410
717	11188	4394
718	11202	4377
719	11218	4362
720	11235	4347
721	11250	4331
722	11266	4316
723	11281	4300
724	11296	4284
725	11312	4269
726	11327	4253
727	11342	4238
728	11358	4222
729	11376	4207
730	11392	4192
731	11408	4177
732	11425	4161
733	11443	4147
734	11460	4131
735	11476	4116
736	11493	4101
737	11506	4085
738	11519	4068
739	11534	4052
740	11549	4036
741	11563	4020
742	11579	4005
